# time(sec)	crack length FEA(mm)
2.066015631249999933e+04	1.409685629836406662e+00
2.066035131249999904e+04	1.439931802062128341e+00
2.066054731249999895e+04	1.398557450963446414e+00
2.066074231249999866e+04	1.379153318318911303e+00
2.066093731249999837e+04	1.399080347067489072e+00
2.066113331249999828e+04	1.418334070249633427e+00
2.066132831250000163e+04	1.485959250534884646e+00
2.066152331250000134e+04	1.454090241294533570e+00
2.066171831250000105e+04	1.433048137467874739e+00
2.066191431250000096e+04	1.447176020297382237e+00
2.066210931250000067e+04	1.423531115229438981e+00
2.066230431250000038e+04	1.389847417093044157e+00
2.066250031250000029e+04	1.442651214548401839e+00
2.066269531250000000e+04	1.473193420658461150e+00
2.066289031249999971e+04	1.440192349395205795e+00
2.066308631249999962e+04	1.405678398620528569e+00
2.066328131249999933e+04	1.416436082432444010e+00
2.066347631249999904e+04	1.410202125939781226e+00
2.066367231249999895e+04	1.405563795748886236e+00
2.066386731249999866e+04	1.443787148732527115e+00
2.066406231249999837e+04	1.459224250960382108e+00
2.066425831249999828e+04	1.465598159460748562e+00
2.066445331250000163e+04	1.414165620162904702e+00
2.066464831250000134e+04	1.400183506909041142e+00
2.066484331250000105e+04	1.412718453031551746e+00
2.066503931250000096e+04	1.405362184730222452e+00
2.066523431250000067e+04	1.499936784341212359e+00
2.066542931250000038e+04	1.510574696361647540e+00
2.066562531250000029e+04	1.439967606651123333e+00
2.066582031250000000e+04	1.418782916911890624e+00
2.066601531249999971e+04	1.424147590789694107e+00
2.066621131249999962e+04	1.412566105179031695e+00
2.066640631249999933e+04	1.405159605209046703e+00
2.066660131249999904e+04	1.432317513557432420e+00
2.066679731249999895e+04	1.450155987773655397e+00
2.066699231249999866e+04	1.403934950395647974e+00
2.066718731249999837e+04	1.408901989046270842e+00
2.066738331249999828e+04	1.374142900042334858e+00
2.066757831250000163e+04	1.412547654679535469e+00
2.066777331250000134e+04	1.414966478588528531e+00
2.066796831250000105e+04	1.436846345523271395e+00
2.066816431250000096e+04	1.450035550797437622e+00
2.066835931250000067e+04	1.408405851210376980e+00
2.066855431250000038e+04	1.429791097098291885e+00
2.066875031250000029e+04	1.403512361900025596e+00
