# time(sec)	crack length FEA(mm)
8.397460943699999916e+03	6.697147964049392499e-01
8.397656243699999322e+03	7.014193690297698680e-01
8.397851543699998729e+03	6.712460740330161713e-01
8.398046843699999954e+03	6.530311535747461704e-01
8.398242143699999360e+03	6.452264493511421506e-01
8.398437543699999878e+03	6.317936809648294627e-01
8.398632843699999285e+03	6.789637260751604231e-01
8.398828143700000510e+03	6.796663318423625810e-01
8.399023443699999916e+03	6.468860427592115769e-01
8.399218743699999322e+03	6.615615612047243133e-01
8.399414043699998729e+03	6.592831408855381881e-01
8.399609343699999954e+03	6.501637887229385626e-01
8.399804643699999360e+03	6.552587862407577290e-01
8.400000043699999878e+03	6.665378455645036837e-01
8.400195343699999285e+03	6.589098260616861324e-01
8.400390643700000510e+03	6.720161949330396567e-01
8.400585943699999916e+03	6.640292909589753378e-01
8.400781243699999322e+03	6.823488629145142426e-01
8.400976543699998729e+03	6.747760261080522071e-01
8.401171843699999954e+03	6.589851661015941886e-01
8.401367143699999360e+03	6.741976407534995275e-01
8.401562543699999878e+03	6.726129297611436186e-01
8.401757843699999285e+03	6.220535698358258259e-01
8.401953143700000510e+03	6.338553286619141858e-01
8.402148443699999916e+03	6.383755958071652969e-01
8.402343743699999322e+03	7.284649601701289612e-01
8.402539043699998729e+03	6.274722229594189571e-01
8.402734343699999954e+03	6.905076303407025051e-01
8.402929643699999360e+03	6.981416893577403471e-01
8.403125043699999878e+03	6.701221140833055756e-01
8.403320343699999285e+03	6.757993680254870128e-01
8.403515643700000510e+03	6.584269794274213439e-01
8.403710943699999916e+03	6.788427790350652913e-01
8.403906243699999322e+03	6.235169587514803879e-01
8.404101543699998729e+03	6.474514003611346880e-01
8.404296843699999954e+03	6.595582448547290255e-01
8.404492143699999360e+03	6.597785905498589898e-01
8.404687543699999878e+03	6.635796153320328017e-01
8.404882843699999285e+03	7.007310372348882765e-01
8.405078143700000510e+03	6.752232804597380067e-01
8.405273443699999916e+03	6.201533275383557253e-01
8.405468743699999322e+03	6.596164619675377594e-01
8.405664043699998729e+03	6.625215223074363280e-01
8.405859343699999954e+03	6.533702979939626232e-01
8.406054643699999360e+03	6.238816236839532792e-01
8.406250043699999878e+03	6.546422755947194361e-01
8.406445343699999285e+03	6.458295602545440772e-01
8.406640643700000510e+03	6.237821746150391533e-01
8.406835943699999916e+03	6.655518087166019114e-01
8.407031243699999322e+03	6.462144759514014680e-01
8.407226543699998729e+03	6.499011449928477901e-01
8.407421843699999954e+03	6.270709773817095822e-01
8.407617143699999360e+03	6.482931531932898395e-01
8.407812543699999878e+03	6.651728646037469161e-01
8.408007843699999285e+03	6.814193482069175190e-01
8.408203143700000510e+03	6.179693326944573073e-01
8.408398443699999916e+03	7.044026328081258725e-01
8.408593743699999322e+03	6.921402092725124078e-01
8.408789043699998729e+03	6.499639368582172949e-01
8.408984343699999954e+03	6.537619310052313892e-01
8.409179643699999360e+03	6.759099919768534193e-01
8.409375043699999878e+03	6.630831252143902788e-01
8.409570343699999285e+03	6.247607684471248035e-01
8.409765643700000510e+03	6.717731825482591290e-01
8.409960943699999916e+03	6.608207905614982280e-01
8.410156243699999322e+03	6.642393119095082454e-01
8.410351543699998729e+03	6.239605188062213870e-01
8.410546843699999954e+03	6.752312180723549773e-01
8.410742143699999360e+03	6.382613467678091013e-01
8.410937543699999878e+03	6.327514077023383976e-01
8.411132843699999285e+03	6.885910504600083470e-01
8.411328143700000510e+03	6.632360538761972180e-01
8.411523443699999916e+03	6.382076423700606682e-01
8.411718743699999322e+03	6.409850509758197035e-01
8.411914043699998729e+03	7.126998165272588892e-01
8.412109343699999954e+03	6.651409049560523812e-01
8.412304643699999360e+03	6.550099280923262768e-01
8.412500043699999878e+03	6.163249240635728654e-01
8.412695343699999285e+03	6.772675320328644943e-01
8.412890643700000510e+03	6.729301232579683045e-01
8.413085943699999916e+03	6.625226890587292417e-01
8.413281243699999322e+03	7.104375386435997086e-01
8.413476543699998729e+03	6.619291682090064910e-01
8.413671843699999954e+03	6.620113328915024908e-01
8.413867143699999360e+03	6.949445151784701125e-01
8.414062543699999878e+03	6.825872241952914976e-01
8.414257843699999285e+03	7.157511475983326932e-01
8.414453143700000510e+03	6.646068099050079780e-01
8.414648443699999916e+03	6.767256480465704271e-01
8.414843743699999322e+03	6.710200982839626960e-01
8.415039043699998729e+03	6.748661538124149928e-01
8.415234343699999954e+03	6.657891580184660540e-01
8.415429643699999360e+03	6.860859417285052331e-01
8.415625043699999878e+03	6.923841935790662205e-01
8.415820343699999285e+03	6.782702026561473474e-01
8.416015643700000510e+03	6.468049946034764019e-01
8.416210943699999916e+03	6.970851558570672069e-01
8.416406243699999322e+03	6.704073872697495773e-01
8.416601543699998729e+03	6.408719328713168295e-01
8.416796843699999954e+03	6.442909553047506677e-01
8.416992143699999360e+03	6.542038334766893115e-01
8.417187543699999878e+03	6.312714311593090599e-01
8.417382843699999285e+03	6.797096671890745512e-01
8.417578143700000510e+03	6.477540682035964892e-01
8.417773443699999916e+03	6.764530014008087733e-01
8.417968743699999322e+03	7.021828878476998881e-01
8.418164043699998729e+03	6.567590506819307450e-01
8.418359343699999954e+03	6.704211191124507252e-01
8.418554643699999360e+03	6.328347898003414684e-01
8.418750043699999878e+03	6.387320796007305290e-01
8.418945343699999285e+03	6.956740362867144256e-01
8.419140643700000510e+03	6.757685884312039093e-01
8.419335943699999916e+03	6.725866936117128603e-01
8.419531243699999322e+03	6.585570888018423830e-01
8.419726543699998729e+03	6.953115500811364313e-01
8.419921843699999954e+03	6.381470971937019954e-01
8.420117143699999360e+03	6.917822338905921242e-01
8.420312543699999878e+03	7.265342867638580060e-01
8.420507843699999285e+03	7.110253376296356009e-01
8.420703143700000510e+03	6.897175371156301082e-01
8.420898443699999916e+03	6.769287199954359124e-01
8.421093743699999322e+03	6.898178830704075892e-01
8.421289043699998729e+03	6.607865503702861076e-01
8.421484343699999954e+03	6.709322988480082017e-01
8.421679643699999360e+03	6.863619185917997356e-01
8.421875043699999878e+03	6.963693355311484368e-01
8.422070343699999285e+03	6.733613978629922059e-01
8.422265643700000510e+03	7.056240682840595468e-01
8.422460943699999916e+03	6.945136227472730184e-01
8.422656243699999322e+03	6.947415836736432482e-01
8.422851543699998729e+03	6.888498985329221114e-01
8.423046843699999954e+03	6.641993412051725443e-01
8.423242143699999360e+03	6.630328677719088404e-01
8.423437543699999878e+03	6.823945250873091339e-01
8.423632843699999285e+03	6.608778378293962419e-01
8.423828143700000510e+03	6.632451719158627412e-01
8.424023443699999916e+03	6.801887023193096127e-01
8.424218743699999322e+03	6.613778242593486567e-01
8.424414043699998729e+03	6.798921588067798893e-01
8.424609343699999954e+03	6.631857967490404349e-01
8.424804643699999360e+03	6.799332109043021433e-01
8.425000043699999878e+03	7.184661994733474444e-01
8.425195343699999285e+03	6.820329578819634975e-01
8.425390643700000510e+03	6.820854489915717522e-01
8.425585943699999916e+03	6.563160176575593141e-01
8.425781243699999322e+03	6.712836907155743660e-01
8.425976543699998729e+03	7.037611233795857402e-01
8.426171843699999954e+03	7.303135362598727198e-01
8.426367143699999360e+03	7.001942862418637503e-01
8.426562543699999878e+03	6.780956355625420429e-01
8.426757843699999285e+03	6.970406863373046491e-01
8.426953143700000510e+03	6.731822384243493218e-01
8.427148443699999916e+03	6.573424101681588638e-01
8.427343743699999322e+03	6.738257303440970958e-01
8.427539043699998729e+03	6.752825675038280906e-01
8.427734343699999954e+03	6.713384886502566928e-01
8.427929643699999360e+03	6.840492581745962752e-01
8.428125043699999878e+03	6.819109190436023482e-01
8.428320343699999285e+03	6.998125035091149471e-01
8.428515643700000510e+03	6.912316240807996337e-01
8.428710943699999916e+03	6.812072611685238144e-01
8.428906243699999322e+03	6.825222337260647976e-01
8.429101543699998729e+03	6.756019996942352890e-01
8.429296843699999954e+03	6.700901609260423442e-01
8.429492143699999360e+03	6.662251174995290626e-01
8.429687543699999878e+03	6.749631213246054529e-01
8.429882843699999285e+03	6.990602861787902356e-01
8.430078143700000510e+03	7.056616905959636199e-01
8.430273443699999916e+03	6.702476621411115332e-01
8.430468743699999322e+03	6.428539703608144862e-01
8.430664043699998729e+03	6.514130783647047451e-01
8.430859343699999954e+03	6.951200679239768476e-01
8.431054643699999360e+03	7.061903346887081767e-01
8.431250043699999878e+03	6.960034719433387806e-01
8.431445343699999285e+03	7.137123970466401346e-01
8.431640643700000510e+03	7.450776244973251750e-01
8.431835943699999916e+03	6.894393848979127881e-01
8.432031243699999322e+03	6.897643019469317238e-01
