# Temp, Stress Intensity
5.730000000000000000e+02,1.263863067357623077e+05
5.730000000000000000e+02,1.550181087383000995e+05
5.730000000000000000e+02,1.894603464882471890e+05
5.730000000000000000e+02,1.402489249626293313e+05
5.730000000000000000e+02,2.204963039181928034e+05
5.730000000000000000e+02,2.327564046518246469e+05
5.730000000000000000e+02,1.576181864919630170e+05
5.730000000000000000e+02,2.349261095005302923e+05
5.730000000000000000e+02,1.521545668084529461e+05
5.730000000000000000e+02,1.524067074112389528e+05
5.730000000000000000e+02,2.425329055727815430e+05
5.730000000000000000e+02,1.823849659196075518e+05
5.730000000000000000e+02,2.218205657427135739e+05
5.730000000000000000e+02,2.076570391777688928e+05
5.730000000000000000e+02,1.242220173978193634e+05
5.730000000000000000e+02,1.677987727036935394e+05
5.730000000000000000e+02,2.976116870591404149e+05
5.730000000000000000e+02,1.818710311462337268e+05
5.730000000000000000e+02,1.869477173907636025e+05
5.730000000000000000e+02,1.897462467472206336e+05
5.730000000000000000e+02,2.435280603888235928e+05
5.730000000000000000e+02,2.415007438290537975e+05
5.730000000000000000e+02,1.627761572176938353e+05
5.730000000000000000e+02,1.268834456992561609e+05
5.730000000000000000e+02,1.754756726001301431e+05
5.730000000000000000e+02,1.580276800302389311e+05
5.730000000000000000e+02,1.674837974819991505e+05
5.730000000000000000e+02,2.153479011286702298e+05
5.730000000000000000e+02,1.768380050291396037e+05
5.730000000000000000e+02,2.119692291928607447e+05
5.730000000000000000e+02,1.293713620129127521e+05
5.730000000000000000e+02,1.312430907053841511e+05
5.730000000000000000e+02,1.606107810403554759e+05
5.730000000000000000e+02,1.793730346359745890e+05
5.730000000000000000e+02,2.498633215513580944e+05
5.730000000000000000e+02,2.347087386512923986e+05
5.730000000000000000e+02,1.840405222763712518e+05
5.730000000000000000e+02,1.598373120194945368e+05
5.730000000000000000e+02,1.664860110848236654e+05
5.730000000000000000e+02,1.929855969390744576e+05
5.730000000000000000e+02,1.706535005143671005e+05
5.730000000000000000e+02,1.483293630529078364e+05
5.730000000000000000e+02,2.095220324812927865e+05
5.730000000000000000e+02,1.862537560575514508e+05
5.730000000000000000e+02,2.361154250188862497e+05
5.730000000000000000e+02,1.600252125073589850e+05
5.730000000000000000e+02,2.065218976306271215e+05
5.730000000000000000e+02,2.118536091595519101e+05
5.730000000000000000e+02,1.396733827209277661e+05
5.730000000000000000e+02,1.531868215498852951e+05
5.730000000000000000e+02,1.685107186039576191e+05
5.730000000000000000e+02,1.628794050151663250e+05
5.730000000000000000e+02,1.609569204768266354e+05
5.730000000000000000e+02,1.816658783913447114e+05
5.730000000000000000e+02,2.853947169977959711e+05
5.730000000000000000e+02,1.399801616556384834e+05
5.730000000000000000e+02,1.526697161294004763e+05
5.730000000000000000e+02,2.251001824357203150e+05
5.730000000000000000e+02,1.490648462193175801e+05
5.730000000000000000e+02,2.295519296650336764e+05
5.730000000000000000e+02,2.111838355721744883e+05
5.730000000000000000e+02,2.475619508391331183e+05
5.730000000000000000e+02,1.367869574161754572e+05
5.730000000000000000e+02,2.600482239213630382e+05
5.730000000000000000e+02,1.805030890551877674e+05
5.730000000000000000e+02,1.955560720788226172e+05
