# Temp, Stress Intensity
3.000000000000000000e+02,1.783939822912926320e+04
3.000000000000000000e+02,1.783828396178744515e+04
3.000000000000000000e+02,1.783716997764970074e+04
3.000000000000000000e+02,1.783605627668696616e+04
3.000000000000000000e+02,1.783494285887029037e+04
3.000000000000000000e+02,1.783382972417065685e+04
3.000000000000000000e+02,1.783271687255907455e+04
3.000000000000000000e+02,1.783160430400659970e+04
3.000000000000000000e+02,1.783049201848425582e+04
3.000000000000000000e+02,1.782938001596303729e+04
3.000000000000000000e+02,1.782826829641404402e+04
3.000000000000000000e+02,1.782715685980828857e+04
3.000000000000000000e+02,1.782604570611683812e+04
3.000000000000000000e+02,1.782493483531073070e+04
3.000000000000000000e+02,1.782382424736110625e+04
3.000000000000000000e+02,1.782271394223899188e+04
3.000000000000000000e+02,1.782160391991546931e+04
3.000000000000000000e+02,1.782049418036163479e+04
3.000000000000000000e+02,1.781938472354862461e+04
3.000000000000000000e+02,1.781827554944746589e+04
3.000000000000000000e+02,1.781716665802933130e+04
3.000000000000000000e+02,1.781605804926533165e+04
3.000000000000000000e+02,1.781494972312657046e+04
3.000000000000000000e+02,1.781384167958418038e+04
3.000000000000000000e+02,1.781273391860935590e+04
3.000000000000000000e+02,1.781162644017317507e+04
3.000000000000000000e+02,1.781051924424682875e+04
3.000000000000000000e+02,1.780941233080144957e+04
3.000000000000000000e+02,1.780830569980823930e+04
3.000000000000000000e+02,1.780719935123834875e+04
3.000000000000000000e+02,1.780609328506294332e+04
3.000000000000000000e+02,1.780498750125320657e+04
3.000000000000000000e+02,1.780388199978038392e+04
3.000000000000000000e+02,1.780277678061565530e+04
3.000000000000000000e+02,1.780167184373018245e+04
3.000000000000000000e+02,1.780056718909524716e+04
3.000000000000000000e+02,1.779946281668202937e+04
3.000000000000000000e+02,1.779835872646177813e+04
3.000000000000000000e+02,1.779725491840571340e+04
3.000000000000000000e+02,1.779615139248504420e+04
3.000000000000000000e+02,1.779504814867107780e+04
3.000000000000000000e+02,1.779394518693505233e+04
3.000000000000000000e+02,1.779284250724822414e+04
3.000000000000000000e+02,1.779174010958187137e+04
3.000000000000000000e+02,1.779063799390724671e+04
3.000000000000000000e+02,1.778953616019565379e+04
3.000000000000000000e+02,1.778843460841838532e+04
3.000000000000000000e+02,1.778733333854671218e+04
3.000000000000000000e+02,1.778623235055194527e+04
3.000000000000000000e+02,1.778513164440543915e+04
3.000000000000000000e+02,1.778403122007845013e+04
3.000000000000000000e+02,1.778293107754234734e+04
3.000000000000000000e+02,1.778183121676841984e+04
3.000000000000000000e+02,1.778073163772804037e+04
3.000000000000000000e+02,1.777963234039253439e+04
3.000000000000000000e+02,1.777853332473324917e+04
3.000000000000000000e+02,1.777743459072156475e+04
3.000000000000000000e+02,1.777633613832882475e+04
3.000000000000000000e+02,1.777523796752642738e+04
3.000000000000000000e+02,1.777414007828571266e+04
3.000000000000000000e+02,1.777304247057810790e+04
3.000000000000000000e+02,1.777194514437496400e+04
3.000000000000000000e+02,1.777084809964771921e+04
3.000000000000000000e+02,1.776975133636774262e+04
3.000000000000000000e+02,1.776865485450645792e+04
3.000000000000000000e+02,1.776755865403530697e+04
3.000000000000000000e+02,1.776646273492568071e+04
3.000000000000000000e+02,1.776536709714904646e+04
3.000000000000000000e+02,1.776427174067682790e+04
3.000000000000000000e+02,1.776317666548047782e+04
3.000000000000000000e+02,1.776208187153144900e+04
3.000000000000000000e+02,1.776098735880119784e+04
3.000000000000000000e+02,1.775989312726115168e+04
3.000000000000000000e+02,1.775879917688285786e+04
3.000000000000000000e+02,1.775770550763776191e+04
3.000000000000000000e+02,1.775661211949735662e+04
3.000000000000000000e+02,1.775551901243312750e+04
3.000000000000000000e+02,1.775442618641658919e+04
3.000000000000000000e+02,1.775333364141924176e+04
3.000000000000000000e+02,1.775224137741259619e+04
3.000000000000000000e+02,1.775114939436817804e+04
3.000000000000000000e+02,1.775005769225752010e+04
3.000000000000000000e+02,1.774896627105214066e+04
3.000000000000000000e+02,1.774787513072361253e+04
3.000000000000000000e+02,1.774678427124348309e+04
3.000000000000000000e+02,1.774569369258325969e+04
3.000000000000000000e+02,1.774460339471456973e+04
3.000000000000000000e+02,1.774351337760894967e+04
3.000000000000000000e+02,1.774242364123797961e+04
