# Temp, Stress Intensity
4.231499999999999773e+02,3.459045357144049922e+04
4.231499999999999773e+02,1.143978678081249673e+05
4.231499999999999773e+02,6.861905305527515884e+04
4.231499999999999773e+02,6.597764432793100423e+04
4.231499999999999773e+02,9.789636997284859535e+04
4.231499999999999773e+02,5.709794555042156571e+04
4.231499999999999773e+02,2.218376865801663735e+04
4.231499999999999773e+02,3.429967485427246720e+04
4.231499999999999773e+02,9.934646890628361143e+04
4.231499999999999773e+02,1.172742278621946316e+05
4.231499999999999773e+02,7.031969173980216146e+04
4.231499999999999773e+02,8.335334526352581452e+04
4.231499999999999773e+02,1.130340072839894710e+05
4.231499999999999773e+02,4.796404344703059905e+04
4.231499999999999773e+02,5.466015950700917892e+04
4.231499999999999773e+02,8.529816957337866188e+04
4.231499999999999773e+02,8.688383487013066770e+04
4.231499999999999773e+02,1.169070477930674533e+05
4.231499999999999773e+02,9.563480104677058989e+04
4.231499999999999773e+02,5.193254493920202367e+04
4.231499999999999773e+02,7.793760277123634296e+04
4.231499999999999773e+02,9.047798056544312567e+04
4.231499999999999773e+02,8.022734566514493781e+04
4.231499999999999773e+02,1.116103789059834380e+05
4.231499999999999773e+02,9.309386298470053589e+04
4.231499999999999773e+02,4.608535542961510509e+04
4.231499999999999773e+02,8.646338934206076374e+04
4.231499999999999773e+02,3.588778897998963657e+04
4.231499999999999773e+02,9.108705497534712777e+04
4.231499999999999773e+02,1.344400410232369904e+05
4.231499999999999773e+02,1.461535673566269106e+05
4.231499999999999773e+02,5.223970748978572374e+04
4.231499999999999773e+02,3.861743470092400821e+04
4.231499999999999773e+02,7.081441244648388238e+04
4.231499999999999773e+02,5.118573925035569118e+04
4.231499999999999773e+02,6.352346353053495113e+04
4.231499999999999773e+02,9.340393355225870619e+04
4.231499999999999773e+02,9.272441347424668493e+04
4.231499999999999773e+02,8.693942167458571203e+04
4.231499999999999773e+02,3.368960593619204883e+04
4.231499999999999773e+02,4.375039784213213716e+04
4.231499999999999773e+02,4.063679277591958817e+04
4.231499999999999773e+02,6.570207166594709270e+04
4.231499999999999773e+02,6.034690462650323025e+04
4.231499999999999773e+02,5.051778703806684643e+04
4.231499999999999773e+02,3.524625002508066245e+04
4.231499999999999773e+02,2.652417466021535074e+04
4.231499999999999773e+02,3.949272489215680980e+04
4.231499999999999773e+02,3.922795447880600113e+04
4.231499999999999773e+02,5.084299263731963583e+04
4.231499999999999773e+02,4.689392584104491834e+04
4.231499999999999773e+02,8.000246109987905947e+04
4.231499999999999773e+02,2.143324577531841351e+04
4.231499999999999773e+02,3.875790688211248926e+04
4.231499999999999773e+02,8.145202390145586105e+04
4.231499999999999773e+02,6.993666879997613432e+04
4.231499999999999773e+02,3.751646678475369117e+04
4.231499999999999773e+02,4.629799436412821524e+04
4.231499999999999773e+02,5.540073806731583318e+04
4.231499999999999773e+02,2.633152504768518702e+04
4.231499999999999773e+02,5.006755319518111355e+04
4.231499999999999773e+02,5.544386040858515480e+04
4.231499999999999773e+02,3.844147646227324731e+04
4.231499999999999773e+02,5.234888456345928716e+04
4.231499999999999773e+02,5.130444601484945451e+04
4.231499999999999773e+02,4.598724802034955792e+04
4.231499999999999773e+02,2.441930925506899803e+04
4.231499999999999773e+02,3.943783444186653651e+04
4.231499999999999773e+02,6.268604232070168655e+04
4.231499999999999773e+02,5.171849912209658942e+04
4.231499999999999773e+02,4.721429641293415625e+04
4.231499999999999773e+02,7.329551442194917763e+04
4.231499999999999773e+02,5.141399099311651662e+04
4.231499999999999773e+02,5.433958288332982920e+04
4.231499999999999773e+02,5.820064458449624362e+04
4.231499999999999773e+02,7.664715545743165421e+04
