# Temp, Stress Intensity
5.231499999999999773e+02,5.455492127852875274e+04
5.231499999999999773e+02,3.136886001871660119e+04
5.231499999999999773e+02,9.116413947727423511e+04
5.231499999999999773e+02,8.176181452987928060e+04
5.231499999999999773e+02,4.418783983711436304e+04
5.231499999999999773e+02,8.181178762613779691e+04
5.231499999999999773e+02,8.039180263893790834e+04
5.231499999999999773e+02,4.646527361654658307e+04
5.231499999999999773e+02,7.215398413004989561e+04
5.231499999999999773e+02,5.600471719069698156e+04
5.231499999999999773e+02,9.754609197108290391e+04
5.231499999999999773e+02,4.629162821263153455e+04
5.231499999999999773e+02,6.002972761377662391e+04
5.231499999999999773e+02,6.459750389040207665e+04
5.231499999999999773e+02,6.586212592052778928e+04
5.231499999999999773e+02,6.656575545775127830e+04
5.231499999999999773e+02,6.758177451323639252e+04
5.231499999999999773e+02,7.880249137302837335e+04
5.231499999999999773e+02,3.541477598574204603e+04
5.231499999999999773e+02,6.663704108958547295e+04
5.231499999999999773e+02,1.044117844667892932e+05
5.231499999999999773e+02,6.215097023753743997e+04
5.231499999999999773e+02,8.127550897481363791e+04
5.231499999999999773e+02,9.881243817390732875e+04
5.231499999999999773e+02,6.632506259569372924e+04
5.231499999999999773e+02,5.973771428485060460e+04
5.231499999999999773e+02,4.699271005521289044e+04
5.231499999999999773e+02,6.420249700478719024e+04
5.231499999999999773e+02,5.430266135614514496e+04
5.231499999999999773e+02,6.138639944051393104e+04
5.231499999999999773e+02,1.111105092794963712e+05
5.231499999999999773e+02,6.557757227390215849e+04
5.231499999999999773e+02,4.605665466787729383e+04
5.231499999999999773e+02,5.713299360617919592e+04
5.231499999999999773e+02,1.040512730560830532e+05
5.231499999999999773e+02,3.437546934546773991e+04
5.231499999999999773e+02,5.410570800318865076e+04
5.231499999999999773e+02,9.953372053969773697e+04
5.231499999999999773e+02,7.935150972758991702e+04
5.231499999999999773e+02,3.465216480041376053e+04
5.231499999999999773e+02,4.039186072221084760e+04
5.231499999999999773e+02,9.795818261829110270e+04
5.231499999999999773e+02,6.668291493579477537e+04
5.231499999999999773e+02,6.277871868112716038e+04
5.231499999999999773e+02,3.363403283747746900e+04
5.231499999999999773e+02,7.528572995424660621e+04
5.231499999999999773e+02,2.649178557224695032e+04
5.231499999999999773e+02,4.324208686321742425e+04
5.231499999999999773e+02,8.331391477415234840e+04
5.231499999999999773e+02,6.595405585722763499e+04
5.231499999999999773e+02,7.233585829093915527e+04
5.231499999999999773e+02,1.016584360873327096e+05
5.231499999999999773e+02,8.852240621921802813e+04
5.231499999999999773e+02,4.055978047383414378e+04
5.231499999999999773e+02,6.699163951827040000e+04
5.231499999999999773e+02,1.113488340055095614e+05
5.231499999999999773e+02,6.135086023431779904e+04
5.231499999999999773e+02,5.360146909837677231e+04
5.231499999999999773e+02,7.801734304961729504e+04
5.231499999999999773e+02,1.141907689544654277e+05
5.231499999999999773e+02,9.285657103800198820e+04
5.231499999999999773e+02,5.045025375353269919e+04
5.231499999999999773e+02,7.826886447161652904e+04
5.231499999999999773e+02,6.216074378703499679e+04
5.231499999999999773e+02,6.741661601362146030e+04
5.231499999999999773e+02,8.805738490688243473e+04
5.231499999999999773e+02,1.121785154501810466e+05
5.231499999999999773e+02,8.498395182848538388e+04
5.231499999999999773e+02,7.744975266708743584e+04
5.231499999999999773e+02,8.925923463563162659e+04
5.231499999999999773e+02,1.103489148385249282e+05
5.231499999999999773e+02,4.696731761001556151e+04
5.231499999999999773e+02,6.212574369308319729e+04
5.231499999999999773e+02,8.398028954169474309e+04
5.231499999999999773e+02,6.508097659495451808e+04
5.231499999999999773e+02,4.825500154712096992e+04
5.231499999999999773e+02,7.549614889314309403e+04
5.231499999999999773e+02,6.153756838764408167e+04
5.231499999999999773e+02,3.377400735573508427e+04
5.231499999999999773e+02,8.619112985518157075e+04
5.231499999999999773e+02,8.359313786178753071e+04
5.231499999999999773e+02,6.996581947160405980e+04
5.231499999999999773e+02,3.549275505020387936e+04
5.231499999999999773e+02,4.992149270818573132e+04
5.231499999999999773e+02,9.175744508495520859e+04
5.231499999999999773e+02,2.660193225449742386e+04
5.231499999999999773e+02,5.923847199513867963e+04
5.231499999999999773e+02,6.656745358514091640e+04
5.231499999999999773e+02,8.230100630481880216e+04
5.231499999999999773e+02,3.676484192332634848e+04
5.231499999999999773e+02,7.469021937817243452e+04
5.231499999999999773e+02,8.157169274427628261e+04
5.231499999999999773e+02,3.711731662805879751e+04
5.231499999999999773e+02,5.653794151210813288e+04
5.231499999999999773e+02,1.296243162524304062e+05
5.231499999999999773e+02,5.300252190747675922e+04
5.231499999999999773e+02,6.588994299850356765e+04
5.231499999999999773e+02,7.761912820226237818e+04
5.231499999999999773e+02,1.070862826116359793e+05
5.231499999999999773e+02,8.217468417705761385e+04
5.231499999999999773e+02,5.349293297797130072e+04
5.231499999999999773e+02,1.225715111591658206e+05
5.231499999999999773e+02,7.310928357759721985e+04
5.231499999999999773e+02,8.306726266698171094e+04
