# Temp, Stress Intensity
5.530000000000000000e+02,8.189295772772187775e+04
5.530000000000000000e+02,1.342376294277184352e+05
5.530000000000000000e+02,9.047702938124675711e+04
5.530000000000000000e+02,1.310788789405025309e+05
5.530000000000000000e+02,9.567487375206165598e+04
5.530000000000000000e+02,1.227843361968614627e+05
5.530000000000000000e+02,9.315535628639216884e+04
5.530000000000000000e+02,6.887560501472074247e+04
5.530000000000000000e+02,1.171342932956389850e+05
5.530000000000000000e+02,1.233291574030888587e+05
5.530000000000000000e+02,1.101905992925782775e+05
5.530000000000000000e+02,1.086172274696473032e+05
5.530000000000000000e+02,9.957763118998616119e+04
5.530000000000000000e+02,1.182153421398791688e+05
5.530000000000000000e+02,7.149311981259395543e+04
5.530000000000000000e+02,8.423158060797496000e+04
5.530000000000000000e+02,8.203584090388582263e+04
5.530000000000000000e+02,9.726700373563567700e+04
5.530000000000000000e+02,7.138571326940352446e+04
5.530000000000000000e+02,9.592174537406495074e+04
5.530000000000000000e+02,1.304891772673090891e+05
5.530000000000000000e+02,9.889700329329217493e+04
5.530000000000000000e+02,1.250425900916539103e+05
5.530000000000000000e+02,1.232691585063358652e+05
5.530000000000000000e+02,1.386914409627288114e+05
5.530000000000000000e+02,1.343683548089979740e+05
5.530000000000000000e+02,1.020205704853799834e+05
5.530000000000000000e+02,1.460085342384020914e+05
5.530000000000000000e+02,1.047203744887493813e+05
5.530000000000000000e+02,1.236097684567281394e+05
5.530000000000000000e+02,1.915399992177702079e+05
5.530000000000000000e+02,1.508077531990480784e+05
5.530000000000000000e+02,1.023806713064911455e+05
5.530000000000000000e+02,8.994192688677652040e+04
5.530000000000000000e+02,1.307592547626086016e+05
5.530000000000000000e+02,1.274394324592089542e+05
5.530000000000000000e+02,9.917700868777079450e+04
5.530000000000000000e+02,9.483053837134940841e+04
5.530000000000000000e+02,8.735063372187138884e+04
5.530000000000000000e+02,7.396169872960950306e+04
5.530000000000000000e+02,6.043247277172216855e+04
5.530000000000000000e+02,9.869679446982055379e+04
5.530000000000000000e+02,1.166358128176373575e+05
5.530000000000000000e+02,5.884633172012207069e+04
5.530000000000000000e+02,1.067181673238593503e+05
5.530000000000000000e+02,6.518679046204803308e+04
5.530000000000000000e+02,8.021587422615138348e+04
5.530000000000000000e+02,7.129343870392300596e+04
5.530000000000000000e+02,7.479791369396077062e+04
5.530000000000000000e+02,1.167640325392423401e+05
5.530000000000000000e+02,5.056124513910617679e+04
5.530000000000000000e+02,3.722068971114355372e+04
5.530000000000000000e+02,6.044789152948714764e+04
5.530000000000000000e+02,5.627797975151791616e+04
5.530000000000000000e+02,6.502262917092659336e+04
5.530000000000000000e+02,7.785357620170062000e+04
5.530000000000000000e+02,4.791355983638500038e+04
5.530000000000000000e+02,5.682067654054564628e+04
5.530000000000000000e+02,9.832386791131061909e+04
5.530000000000000000e+02,4.820390119546625647e+04
5.530000000000000000e+02,1.269831531966971525e+05
5.530000000000000000e+02,1.186578694452265190e+05
5.530000000000000000e+02,7.090710686999640893e+04
5.530000000000000000e+02,1.055734330429757538e+05
5.530000000000000000e+02,1.052662144190371619e+05
5.530000000000000000e+02,1.418827041708259494e+05
5.530000000000000000e+02,8.513823752076939854e+04
5.530000000000000000e+02,1.877490541392425075e+05
5.530000000000000000e+02,1.474736226822152385e+05
5.530000000000000000e+02,6.362013857918999565e+04
5.530000000000000000e+02,9.833969970409180678e+04
5.530000000000000000e+02,9.732023537901209784e+04
5.530000000000000000e+02,4.332499630917142349e+04
5.530000000000000000e+02,8.291279987694992451e+04
5.530000000000000000e+02,1.437783431242187798e+05
5.530000000000000000e+02,1.474875795579040132e+05
5.530000000000000000e+02,7.618024309883135720e+04
5.530000000000000000e+02,7.467926528442060226e+04
5.530000000000000000e+02,5.043276643541762314e+04
5.530000000000000000e+02,1.018936407655658404e+05
5.530000000000000000e+02,1.308705703058562067e+05
5.530000000000000000e+02,1.003140152780394856e+05
5.530000000000000000e+02,1.689185304924293305e+05
5.530000000000000000e+02,9.168479017157004273e+04
5.530000000000000000e+02,8.939379876849088760e+04
5.530000000000000000e+02,9.098266205954532779e+04
5.530000000000000000e+02,6.200743885415343539e+04
5.530000000000000000e+02,1.119473590634013090e+05
5.530000000000000000e+02,8.915491092850101995e+04
5.530000000000000000e+02,7.451751424014323857e+04
5.530000000000000000e+02,9.700358114250827930e+04
5.530000000000000000e+02,1.216215980255442846e+05
5.530000000000000000e+02,9.798944828450158820e+04
5.530000000000000000e+02,8.435696710879451712e+04
5.530000000000000000e+02,9.675864804493791598e+04
5.530000000000000000e+02,1.100628788618855178e+05
5.530000000000000000e+02,4.087788786007399176e+04
5.530000000000000000e+02,7.564812229726056103e+04
5.530000000000000000e+02,7.002713221292567323e+04
5.530000000000000000e+02,9.237375981654723000e+04
5.530000000000000000e+02,8.445686741522395459e+04
5.530000000000000000e+02,6.097448069513143855e+04
5.530000000000000000e+02,8.875727017747283389e+04
5.530000000000000000e+02,4.498144773230193096e+04
5.530000000000000000e+02,4.444613664925780904e+04
5.530000000000000000e+02,7.305279016706807306e+04
5.530000000000000000e+02,8.934669134050564026e+04
5.530000000000000000e+02,9.706517087824377813e+04
5.530000000000000000e+02,4.397525535158714047e+04
5.530000000000000000e+02,5.703759044785839069e+04
5.530000000000000000e+02,1.169679792189033033e+05
5.530000000000000000e+02,8.619573052718749386e+04
5.530000000000000000e+02,7.430454870872200991e+04
5.530000000000000000e+02,1.000690223074436362e+05
5.530000000000000000e+02,6.118991482714858284e+04
5.530000000000000000e+02,4.410766021477364848e+04
5.530000000000000000e+02,6.511463470111327479e+04
5.530000000000000000e+02,1.352735753416125081e+05
5.530000000000000000e+02,5.685475289426202653e+04
5.530000000000000000e+02,6.564736329440637201e+04
5.530000000000000000e+02,9.682374967090514838e+04
5.530000000000000000e+02,6.442509311359556159e+04
5.530000000000000000e+02,4.642681670818785642e+04
5.530000000000000000e+02,1.023482309032525081e+05
5.530000000000000000e+02,1.039847901451718935e+05
5.530000000000000000e+02,3.735108120634540683e+04
5.530000000000000000e+02,9.540806234600982862e+04
5.530000000000000000e+02,9.846027012860319519e+04
5.530000000000000000e+02,6.311889658482008235e+04
5.530000000000000000e+02,7.740080319704845897e+04
5.530000000000000000e+02,6.785523743380223459e+04
5.530000000000000000e+02,8.609006693868305592e+04
5.530000000000000000e+02,6.680070086755725788e+04
5.530000000000000000e+02,6.951357498831933481e+04
