# time(sec)	crack length FEA(mm)
1.271718750000000000e+04	4.004901448032391897e-01
1.271738249999999971e+04	3.675034672956041248e-01
1.271757849999999962e+04	3.481671564828126009e-01
1.271777349999999933e+04	3.562769007171731062e-01
1.271796850000000086e+04	3.700382605669698677e-01
1.271816450000000077e+04	3.732029290128942023e-01
1.271835950000000048e+04	3.732477990794791367e-01
1.271855450000000019e+04	4.110174202138079380e-01
1.271875050000000010e+04	3.615152582748031307e-01
1.271894549999999981e+04	3.427046604248182859e-01
1.271914049999999952e+04	3.679980555001378661e-01
1.271933549999999923e+04	3.885911822242675839e-01
1.271953149999999914e+04	3.418053477757432290e-01
1.271972650000000067e+04	4.032445161937054934e-01
1.271992150000000038e+04	3.680952468865044125e-01
1.272011750000000029e+04	3.708180015351345560e-01
1.272031250000000000e+04	3.532800189823497305e-01
1.272050749999999971e+04	3.760041295252118942e-01
1.272070349999999962e+04	3.768786933141612394e-01
1.272089849999999933e+04	3.827927622363382909e-01
1.272109350000000086e+04	3.780661199546493378e-01
1.272128950000000077e+04	3.454152057995152347e-01
1.272148450000000048e+04	4.293350578455896738e-01
1.272167950000000019e+04	3.609564194593986031e-01
1.272187550000000010e+04	3.711693792854440233e-01
1.272207049999999981e+04	4.545326527947288753e-01
1.272226549999999952e+04	4.121434712889922025e-01
1.272246049999999923e+04	3.496670350165036467e-01
1.272265649999999914e+04	3.708777942728875843e-01
1.272285150000000067e+04	3.918740746632121130e-01
1.272304650000000038e+04	3.947969606228536321e-01
1.272324250000000029e+04	3.562790305422254278e-01
1.272343750000000000e+04	4.313030872313561304e-01
1.272363249999999971e+04	4.003813414604646681e-01
1.272382849999999962e+04	4.000527383480836363e-01
1.272402349999999933e+04	3.771958541420197264e-01
1.272421850000000086e+04	3.618646385716068892e-01
1.272441450000000077e+04	3.946411378150411764e-01
1.272460950000000048e+04	3.461518676299348840e-01
1.272480450000000019e+04	3.834589233058487423e-01
1.272500050000000010e+04	4.060060478495746139e-01
1.272519549999999981e+04	3.401296198238945578e-01
1.272539049999999952e+04	4.141011652343564720e-01
1.272558549999999923e+04	4.041853438231832740e-01
1.272578149999999914e+04	4.154467128590475511e-01
1.272597650000000067e+04	3.377896046029409405e-01
1.272617150000000038e+04	3.804578428244820287e-01
1.272636750000000029e+04	3.532853533693742776e-01
1.272656250000000000e+04	3.887832943923505979e-01
1.272675749999999971e+04	3.632002068976341036e-01
1.272695349999999962e+04	4.042194834283936444e-01
1.272714849999999933e+04	3.728195256131616730e-01
1.272734350000000086e+04	3.702871454294687226e-01
1.272753950000000077e+04	3.628722022621762022e-01
1.272773450000000048e+04	4.064006829531319198e-01
1.272792950000000019e+04	4.342308880683383165e-01
1.272812550000000010e+04	3.953091432796984606e-01
1.272832049999999981e+04	3.620687244638034485e-01
1.272851549999999952e+04	3.849032729722203783e-01
1.272871049999999923e+04	3.775461141480658256e-01
1.272890649999999914e+04	3.802453880823826182e-01
1.272910150000000067e+04	4.072315271193911457e-01
1.272929650000000038e+04	4.572873683455984661e-01
1.272949250000000029e+04	3.864361488829608504e-01
1.272968750000000000e+04	3.901814490690327375e-01
1.272988249999999971e+04	4.507353260863649069e-01
1.273007849999999962e+04	4.032680006690370078e-01
1.273027349999999933e+04	4.142578912859420370e-01
1.273046850000000086e+04	4.503137153878888910e-01
1.273066450000000077e+04	3.955460054983550577e-01
1.273085950000000048e+04	3.820860028185268931e-01
1.273105450000000019e+04	3.627450429700918022e-01
1.273125050000000010e+04	4.153987321149443801e-01
1.273144549999999981e+04	4.060860491413720297e-01
1.273164049999999952e+04	4.043805326697231806e-01
1.273183549999999923e+04	4.080516706846974984e-01
1.273203149999999914e+04	3.921184775409933820e-01
1.273222650000000067e+04	3.489828573097675246e-01
1.273242150000000038e+04	3.922059765030780909e-01
1.273261750000000029e+04	3.646639179416233389e-01
1.273281250000000000e+04	3.951501339679470703e-01
