# time(sec)	crack length FEA(mm)
3.821796921869999642e+04	1.984784289527489420e+00
3.821816421869999613e+04	2.003647812060203037e+00
3.821835921870000311e+04	2.007121439190635570e+00
3.821855421870000282e+04	1.974739962727634079e+00
3.821875021869999910e+04	2.025342871867179539e+00
3.821894521869999880e+04	1.989171920230891288e+00
3.821914021869999851e+04	1.942498359403641572e+00
3.821933621870000206e+04	1.960282763849665599e+00
3.821953121870000177e+04	1.954627759650829688e+00
3.821972621870000148e+04	1.977390167435935098e+00
3.821992221869999776e+04	1.960661391544284982e+00
3.822011721869999747e+04	1.934738413996335282e+00
3.822031221869999717e+04	1.962683802759482177e+00
3.822050821870000073e+04	1.911080383307872665e+00
3.822070321870000043e+04	1.977281365227902654e+00
3.822089821870000014e+04	1.961960940848150869e+00
3.822109421869999642e+04	1.941686131202489562e+00
3.822128921869999613e+04	1.955979038212111831e+00
3.822148421870000311e+04	1.982322184449847313e+00
3.822167921870000282e+04	1.975680814576696420e+00
3.822187521869999910e+04	1.949670476098008365e+00
3.822207021869999880e+04	1.947356577768506014e+00
3.822226521869999851e+04	1.984224123348107938e+00
3.822246121870000206e+04	1.977332698503461827e+00
3.822265621870000177e+04	1.968249210991286802e+00
3.822285121870000148e+04	1.960423647303946026e+00
3.822304721869999776e+04	1.962191491257884834e+00
3.822324221869999747e+04	1.942578074600740834e+00
3.822343721869999717e+04	1.943492831797549059e+00
3.822363321870000073e+04	1.957930598097266994e+00
3.822382821870000043e+04	1.983284837523410005e+00
3.822402321870000014e+04	1.949330947275971226e+00
3.822421921869999642e+04	1.934672957343641642e+00
3.822441421869999613e+04	1.944187984419249560e+00
3.822460921870000311e+04	1.961799917372179181e+00
3.822480421870000282e+04	1.964958863615571261e+00
3.822500021869999910e+04	1.976248279820630671e+00
3.822519521869999880e+04	1.978370919163516817e+00
3.822539021869999851e+04	1.925572291934100733e+00
3.822558621870000206e+04	1.966461609643230801e+00
3.822578121870000177e+04	2.008413393308199346e+00
3.822597621870000148e+04	1.966616634076451930e+00
3.822617221869999776e+04	1.950464074528007075e+00
3.822636721869999747e+04	1.970526736371622789e+00
3.822656221869999717e+04	1.962705075770440288e+00
3.822675821870000073e+04	1.947322310113342780e+00
3.822695321870000043e+04	1.928768524651625071e+00
3.822714821870000014e+04	1.998189738472724741e+00
3.822734421869999642e+04	1.966821977126455678e+00
3.822753921869999613e+04	1.958440127954887089e+00
3.822773421870000311e+04	1.980768132685383875e+00
3.822792921870000282e+04	1.990961608466774280e+00
3.822812521869999910e+04	1.942209097336542456e+00
3.822832021869999880e+04	1.974290265584773607e+00
3.822851521869999851e+04	1.972686218002561276e+00
